Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
SAVIKPET INVEST SRL,37123916,4711,"Municipiul Oradea, Str. MATEI CORVIN, Nr. 1, Județ Bihor",2018,25421,585,,,585,,4525,,,21481,200,,,68500,62149,6351,0,4296,0,0
SAVIKPET INVEST SRL,37123916,4711,"Municipiul Oradea, Str. MATEI CORVIN, Nr. 1, Județ Bihor",2019,46745,2042,,,2042,,5643,,,43144,200,,,85000,60788,24212,0,21662,0,0
SAVIKPET INVEST SRL,37123916,4711,"Municipiul Oradea, Str. MATEI CORVIN, Nr. 1, Județ Bihor",2017,1940,19114,,,19114,,3869,,,17185,200,,0,47615,29201,18414,0,16985,0,0
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2017,,11502,8325,,3177,,87866,,,-76364,200,,99427,99427,103647,0,4220,0,5214,1
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2018,,8702,6223,,2479,,91615,,,-82913,200,,86733,86733,92415,0,5682,0,6549,
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2016,,5174,3441,,1733,,76324,,,-71150,200,,89959,89959,103207,0,13248,0,14154,2
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2019,,10958,6646,,4312,,97911,,,-86953,200,,117526,118260,121124,0,2864,0,4040,1
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2016,192095,2794190,1894391,302907,596892,,2957705,,,28580,200,,9291799,9401797,9450835,0,49038,0,67398,32
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2018,140681,1882232,525851,844429,511952,,1883641,,,139272,200,,7780797,8446182,8273184,172998,0,137239,0,22
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2017,173717,2072793,1319114,330884,422795,,2245483,,,1027,200,,7048586,7059156,7034602,24554,0,17001,0,23
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2019,103985,2192589,517258,931276,744055,,2094600,,,201974,200,,8274697,9010630,8899760,110870,0,87836,0,20
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2018,4201,103810,98099,5473,238,125924,433384,,,-199449,45200,,899772,899772,957768,0,57996,0,59820,5
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2019,50,106217,103244,2357,616,133690,414161,,,-174204,45200,,596851,596851,571606,25245,0,25245,0,2
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2017,512,114679,100466,11328,2885,129797,384617,,,-139629,45200,,895516,895516,906089,0,10573,0,10628,4
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2016,,113121,93046,18281,1794,128695,415817,,,-174001,200,,863613,863614,862374,1240,0,1240,0,4
SIMCRIST SRL,14002990,4711,"Municipiul Oradea, P-ta CETATII, Nr. 28, Scara A, Etaj 7, Apartament 28, Județ Bihor",2017,637,17397,15470,20,1907,,3983,,,14051,200,,109247,109999,103325,6674,0,3781,0,2
SIMCRIST SRL,14002990,4711,"Municipiul Oradea, P-ta CETATII, Nr. 28, Scara A, Etaj 7, Apartament 28, Județ Bihor",2018,1024,23795,20050,3197,548,,10573,,,14246,200,,99362,99362,98184,1178,0,195,0,1
SIMCRIST SRL,14002990,4711,"Municipiul Oradea, P-ta CETATII, Nr. 28, Scara A, Etaj 7, Apartament 28, Județ Bihor",2019,602,33753,8874,,24879,,310,,,34045,200,,108114,108114,87234,20880,0,19799,0,1
SIMCRIST SRL,14002990,4711,"Municipiul Oradea, P-ta CETATII, Nr. 28, Scara A, Etaj 7, Apartament 28, Județ Bihor",2016,1176,11546,10244,,1302,,2452,,,10270,200,,103755,103755,135156,0,31401,0,33476,1
ROLAND MINIMARKET COMERT SI SERVICII SRL,57015,4711,"Municipiul Oradea, P-ta. BUCURESTI, Nr. 2, Bloc D 10, Etaj P, Județ Bihor",2018,185686,353790,216827,82316,54647,,194143,,,345333,525,,2530920,2532041,2358494,173547,0,148237,0,7
ROLAND MINIMARKET COMERT SI SERVICII SRL,57015,4711,"Municipiul Oradea, P-ta. BUCURESTI, Nr. 2, Bloc D 10, Etaj P, Județ Bihor",2016,210714,295255,271813,1880,21562,,131602,,,374367,525,,1997167,1997167,1781755,215412,0,177271,0,8
ROLAND MINIMARKET COMERT SI SERVICII SRL,57015,4711,"Municipiul Oradea, P-ta. BUCURESTI, Nr. 2, Bloc D 10, Etaj P, Județ Bihor",2017,196991,299033,250794,,48239,,164666,,,331358,525,,2165555,2165555,2000901,164654,0,134262,0,7
ROLAND MINIMARKET COMERT SI SERVICII SRL,57015,4711,"Municipiul Oradea, P-ta. BUCURESTI, Nr. 2, Bloc D 10, Etaj P, Județ Bihor",2019,173326,251199,198822,,52377,,148926,,,275599,525,,2142463,2143736,2069717,74019,0,52582,0,7
SABAND SRL,24102547,4711,"Municipiul Oradea, P-ţa 1 DECEMBRIE, Nr. 15A, Apartament 3, Județ Bihor",2016,18296,148448,110390,22229,15829,,364626,,,-197882,200,,696050,767626,766064,1562,0,1562,0,7
SABAND SRL,24102547,4711,"Municipiul Oradea, P-ţa 1 DECEMBRIE, Nr. 15A, Apartament 3, Județ Bihor",2018,10000,184237,145535,21319,17383,,367118,,,-172881,45000,,1593471,1610219,1628883,0,18664,0,21634,6
SABAND SRL,24102547,4711,"Municipiul Oradea, P-ţa 1 DECEMBRIE, Nr. 15A, Apartament 3, Județ Bihor",2019,6464,222101,122332,15236,84533,,373056,,,-144491,45000,,1881832,1900658,1872268,28390,0,28390,0,7
SABAND SRL,24102547,4711,"Municipiul Oradea, P-ţa 1 DECEMBRIE, Nr. 15A, Apartament 3, Județ Bihor",2017,10070,169268,110246,22163,36859,,330586,,,-151248,45000,,1080956,1122219,1120385,1834,0,1834,0,6
DIDICOS SRL,29241996,4711,"Municipiul Oradea, P-ţa NUCETULUI, Nr. 22, Bloc B + C 4, Etaj 5, Apartament 511, Județ Bihor",2018,,18883,17048,1700,135,,10320,,,8563,200,,74184,74184,161514,0,87330,0,88072,3
DIDICOS SRL,29241996,4711,"Municipiul Oradea, P-ţa NUCETULUI, Nr. 22, Bloc B + C 4, Etaj 5, Apartament 511, Județ Bihor",2019,,36343,25442,9155,1746,,5298,,,31045,200,,81952,81952,212229,0,130277,0,130977,4
RIFA EXIM SRL,4959053,4711,"Municipiul Oradea, STR. APATEULUI, Nr. 22, Bloc PB 2, Apartament 19, Județ Bihor",2016,,3875,,1154,2721,,179185,,,-175310,200,,,0,57039,0,57039,0,57039,1
RIFA EXIM SRL,4959053,4711,"Municipiul Oradea, STR. APATEULUI, Nr. 22, Bloc PB 2, Apartament 19, Județ Bihor",2017,,3807,,1154,2653,,224149,,,-220342,200,,,0,45032,0,45032,0,45032,1
CELIUS PREST COM SRL,2589418,4711,"Municipiul Oradea, STR. BARCAULUI, Nr. 79, Județ Bihor",2016,,24494,24494,,,,18493,,,6001,200,,,0,,0,0,0,0,
CELIUS PREST COM SRL,2589418,4711,"Municipiul Oradea, STR. BARCAULUI, Nr. 79, Județ Bihor",2017,,24494,24494,,,,18493,,,6001,200,,,0,,0,0,0,0,
CELIUS PREST COM SRL,2589418,4711,"Municipiul Oradea, STR. BARCAULUI, Nr. 79, Județ Bihor",2019,,,,,,,18493,,,-18493,200,,,0,24494,0,24494,0,24494,
CELIUS PREST COM SRL,2589418,4711,"Municipiul Oradea, STR. BARCAULUI, Nr. 79, Județ Bihor",2018,,24494,24494,,,,18493,,,6001,200,,,0,,0,0,0,0,
FLADRIS COM SRL,5183766,4711,"Municipiul Oradea, STR. BARIEREI, Nr. 10, Bloc PB29, Apartament 19, Județ Bihor",2018,190207,232514,202483,12638,17393,,1020682,,,-597961,46330,,2003183,2008362,1986081,22281,0,13056,0,5
FLADRIS COM SRL,5183766,4711,"Municipiul Oradea, STR. BARIEREI, Nr. 10, Bloc PB29, Apartament 19, Județ Bihor",2016,204257,152784,145522,4352,2910,,959072,,,-602031,4330,,1602418,1602431,1626399,0,23968,0,28798,6
FLADRIS COM SRL,5183766,4711,"Municipiul Oradea, STR. BARIEREI, Nr. 10, Bloc PB29, Apartament 19, Județ Bihor",2019,228387,373371,333547,12885,26939,,1097386,,,-495628,46330,,4314169,4355500,4233167,122333,0,102333,0,5
FLADRIS COM SRL,5183766,4711,"Municipiul Oradea, STR. BARIEREI, Nr. 10, Bloc PB29, Apartament 19, Județ Bihor",2017,199283,153752,135968,8387,9397,,964052,,,-611017,46330,,1681565,1741608,1792594,0,50986,0,50986,6
VESTIMENTAL SRL,7920619,4711,"Municipiul Oradea, STR. CANTACUZINO, Nr. 25, Bloc PB 36, Apartament 7, Județ Bihor",2019,,50992,36637,,14355,,37937,,,13055,200,,86966,87010,79302,7708,0,6838,0,1
CARECULUM COMEX SRL,4686999,4711,"Municipiul Oradea, STR. CANTACUZINO, Nr. 31, Bloc PB33, Apartament 11, Județ Bihor",2017,,46680,,7703,38977,,883,,,45797,200,,61075,61075,6398,54677,0,52845,0,1
CARECULUM COMEX SRL,4686999,4711,"Municipiul Oradea, STR. CANTACUZINO, Nr. 31, Bloc PB33, Apartament 11, Județ Bihor",2016,,6434,0,4360,2074,,13482,,,-7048,200,,29602,29602,8116,21486,0,20579,0,1
CARECULUM COMEX SRL,4686999,4711,"Municipiul Oradea, STR. CANTACUZINO, Nr. 31, Bloc PB33, Apartament 11, Județ Bihor",2019,0,88016,0,0,88016,0,0,0,0,88016,200,0,14369,14369,917,13452,0,13021,0,0
NABE SERV SRL,9031817,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 1, Bloc P62, Apartament 18, Județ Bihor",2016,84980,167006,157000,3786,6220,630,511299,,,-258683,200,,2323197,2334208,2242127,92081,0,74586,0,12
NABE SERV SRL,9031817,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 1, Bloc P62, Apartament 18, Județ Bihor",2018,82299,160699,141024,3274,16401,635,391925,,,-148292,200,,2238966,2244791,2137127,107664,0,85141,0,10
NABE SERV SRL,9031817,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 1, Bloc P62, Apartament 18, Județ Bihor",2019,78048,137290,118419,4933,13938,635,290750,,,-74777,200,,2020740,2027793,1935893,91900,0,73515,0,8
NABE SERV SRL,9031817,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 1, Bloc P62, Apartament 18, Județ Bihor",2017,82003,143018,120821,9290,12907,635,459089,,,-233433,200,,2255111,2264368,2228246,36122,0,25250,0,12
DUDU COM SRL,5609340,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 26, Bloc R 91, Apartament 11, Județ Bihor",2018,,84657,6000,1173,77484,,18100,,,66557,200,,32000,32000,930,31070,0,30110,0,
DUDU COM SRL,5609340,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 26, Bloc R 91, Apartament 11, Județ Bihor",2017,,54547,6000,1173,47374,,18100,,,36447,200,,38500,57533,15730,41803,0,40077,0,
DUDU COM SRL,5609340,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 26, Bloc R 91, Apartament 11, Județ Bihor",2016,,14334,,1172,13162,,17964,,,-3630,200,,32250,40750,2768,37982,0,36759,0,
DUDU COM SRL,5609340,4711,"Municipiul Oradea, STR. CAZABAN, Nr. 26, Bloc R 91, Apartament 11, Județ Bihor",2019,,84657,6000,1173,77484,,18100,,,66557,200,,,0,,0,0,0,0,
HURBAN COM SRL,8407817,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 213, Județ Bihor",2018,11172,42175,37704,692,3779,,120937,,,-67590,200,,206242,208849,241651,0,32802,0,34905,2
HURBAN COM SRL,8407817,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 213, Județ Bihor",2019,10543,41641,37801,7,3833,,113252,,,-61068,200,,256714,281932,272556,9376,0,6522,0,3
HURBAN COM SRL,8407817,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 213, Județ Bihor",2017,11801,42860,38639,1645,2576,,87346,,,-32685,200,,196584,201162,225826,0,24664,0,26707,2
HURBAN COM SRL,8407817,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 213, Județ Bihor",2016,8185,66430,38809,579,27042,,80594,,,-5979,200,,264549,293192,261739,31453,0,28497,0,3
DEMETRIOS COM SRL,8418786,4711,"Municipiul Oradea, STR. CONSTANTIN BRANCUSI, Nr. 1, Bloc D34, Etaj 2, Apartament 8, Județ Bihor",2016,,5763,5653,,110,,5188,,,575,200,,100337,100337,95103,5234,0,3228,0,1
DEMETRIOS COM SRL,8418786,4711,"Municipiul Oradea, STR. CONSTANTIN BRANCUSI, Nr. 1, Bloc D34, Etaj 2, Apartament 8, Județ Bihor",2018,,10053,9752,,301,,5673,,,4380,200,,155095,155095,149598,5497,0,3956,0,1
DEMETRIOS COM SRL,8418786,4711,"Municipiul Oradea, STR. CONSTANTIN BRANCUSI, Nr. 1, Bloc D34, Etaj 2, Apartament 8, Județ Bihor",2017,,5711,5608,,103,,5288,,,423,200,,120826,120897,119841,1056,0,0,152,1
DEMETRIOS COM SRL,8418786,4711,"Municipiul Oradea, STR. CONSTANTIN BRANCUSI, Nr. 1, Bloc D34, Etaj 2, Apartament 8, Județ Bihor",2019,,11332,10585,,747,,16589,,,-5257,200,,158418,158514,166567,0,8053,0,9637,1
MICUT A&G - COMIMPEX SRL,69923,4711,"Municipiul Oradea, STR. COSTAFORU, Bloc C12, Apartament 16, Județ Bihor",2016,,80299,79316,23,960,,864491,,,-784192,200,,303985,304078,352675,0,48597,0,51638,4
MICUT A&G - COMIMPEX SRL,69923,4711,"Municipiul Oradea, STR. COSTAFORU, Bloc C12, Apartament 16, Județ Bihor",2018,,251056,213743,34089,3224,,1256885,,,-1005829,200,,276510,276593,394291,0,117698,0,120463,4
MICUT A&G - COMIMPEX SRL,69923,4711,"Municipiul Oradea, STR. COSTAFORU, Bloc C12, Apartament 16, Județ Bihor",2017,,195923,173459,20221,2243,,1081289,,,-885366,200,,266658,266759,365266,0,98507,0,101174,4
MICUT A&G - COMIMPEX SRL,69923,4711,"Municipiul Oradea, STR. COSTAFORU, Bloc C12, Apartament 16, Județ Bihor",2019,0,328065,292975,34006,1084,0,1390293,0,0,-1062228,200,0,311783,313387,366732,0,53345,0,56399,3
MARALINA SERV SRL,3652858,4711,"Municipiul Oradea, STR. CRISAN, Nr. 44, Județ Bihor",2018,8985,507553,452811,53257,1485,,902011,,,-385473,200,,444912,444912,479656,0,34744,0,39237,2
MARALINA SERV SRL,3652858,4711,"Municipiul Oradea, STR. CRISAN, Nr. 44, Județ Bihor",2019,66392,702002,609815,88315,3872,,1195656,,,-427262,200,,493169,493170,529991,0,36821,0,41789,2
MARALINA SERV SRL,3652858,4711,"Municipiul Oradea, STR. CRISAN, Nr. 44, Județ Bihor",2017,9675,393902,354864,36986,2052,,749813,,,-346236,200,,298103,298103,342028,0,43925,0,46924,3
MARALINA SERV SRL,3652858,4711,"Municipiul Oradea, STR. CRISAN, Nr. 44, Județ Bihor",2016,7631,330858,302732,26479,1647,,637801,,,-299312,200,,279624,280327,321761,0,41434,0,44243,3
AUDIANA IMPEX SRL,7816163,4711,"Municipiul Oradea, STR. DIMITRIE CANTEMIR, Nr. 45, Bloc U45, Apartament 16, Județ Bihor",2018,0,4337,656,,3681,,121429,,,-117092,4100,,56073,56073,59116,0,3043,0,3604,1
AUDIANA IMPEX SRL,7816163,4711,"Municipiul Oradea, STR. DIMITRIE CANTEMIR, Nr. 45, Bloc U45, Apartament 16, Județ Bihor",2019,49361,5040,3019,,2021,,166492,,,-112091,4100,,79975,79975,74204,5771,0,5001,0,1
AUDIANA IMPEX SRL,7816163,4711,"Municipiul Oradea, STR. DIMITRIE CANTEMIR, Nr. 45, Bloc U45, Apartament 16, Județ Bihor",2017,1394,1514,,,1514,,116396,,,-113488,4100,,51496,51496,57576,0,6080,0,7070,2
AUDIANA IMPEX SRL,7816163,4711,"Municipiul Oradea, STR. DIMITRIE CANTEMIR, Nr. 45, Bloc U45, Apartament 16, Județ Bihor",2016,6136,484,,,484,,113038,,,-106418,4100,,61812,61912,64159,0,2247,0,3021,2
INDUSTRIE-COMERT B.D. SRL,72562,4711,"Municipiul Oradea, STR. EFORIEI, Nr. 11, Județ Bihor",2017,,,,,,,3108,,,-3108,200,,,0,,0,0,0,0,
INDUSTRIE-COMERT B.D. SRL,72562,4711,"Municipiul Oradea, STR. EFORIEI, Nr. 11, Județ Bihor",2018,,,,,,,3108,,,-3108,200,,,0,,0,0,0,0,
INDUSTRIE-COMERT B.D. SRL,72562,4711,"Municipiul Oradea, STR. EFORIEI, Nr. 11, Județ Bihor",2016,,,,,,,3108,,,-3108,200,,,0,,0,0,0,0,
INDUSTRIE-COMERT B.D. SRL,72562,4711,"Municipiul Oradea, STR. EFORIEI, Nr. 11, Județ Bihor",2019,,,,,,,3108,,,-3108,200,,,0,,0,0,0,0,
SICVANTIC TRADE SRL,8160589,4711,"Municipiul Oradea, STR. EPISCOP IOAN SUCIU, Nr. 20, Apartament 14, Județ Bihor",2016,14117,84641,67441,7333,9867,,140224,,,-41466,200,,1108737,1108737,1083546,25191,0,25191,0,8
SICVANTIC TRADE SRL,8160589,4711,"Municipiul Oradea, STR. EPISCOP IOAN SUCIU, Nr. 20, Apartament 14, Județ Bihor",2018,12297,129590,51440,23212,54938,,137462,,,4425,200,,1382401,1382479,1348913,33566,0,19741,0,8
SICVANTIC TRADE SRL,8160589,4711,"Municipiul Oradea, STR. EPISCOP IOAN SUCIU, Nr. 20, Apartament 14, Județ Bihor",2019,9725,114246,64886,10936,38424,,82573,,,41398,200,,1208345,1208345,1159289,49056,0,36973,0,7
SICVANTIC TRADE SRL,8160589,4711,"Municipiul Oradea, STR. EPISCOP IOAN SUCIU, Nr. 20, Apartament 14, Județ Bihor",2017,11387,112617,85850,7833,18934,,139320,,,-15316,200,,1262845,1262869,1224905,37964,0,26150,0,6
FLORA COM SRL,59512,4711,"Municipiul Oradea, STR. FACLIEI, Nr. 47, Județ Bihor",2018,56,12477,12303,37,137,,240166,,,-227633,200,,123145,123145,156252,0,33107,0,34338,1
FLORA COM SRL,59512,4711,"Municipiul Oradea, STR. FACLIEI, Nr. 47, Județ Bihor",2019,,,,,,,266105,,,-266105,200,,68146,68146,105937,0,37791,0,38472,
FLORA COM SRL,59512,4711,"Municipiul Oradea, STR. FACLIEI, Nr. 47, Județ Bihor",2016,56,11463,10950,,513,,161700,,,-150181,200,,124763,124763,163573,0,38810,0,40058,2
FLORA COM SRL,59512,4711,"Municipiul Oradea, STR. FACLIEI, Nr. 47, Județ Bihor",2017,56,3565,2716,692,157,,196916,,,-193295,200,,139922,140422,182137,0,41715,0,43114,2
APICOLA BIHOR SRL,9097676,4711,"Municipiul Oradea, STR. GENERAL MAGHERU, Bloc M9-11, Județ Bihor",2018,258,441250,358941,23255,59054,,179040,,,262468,200,,1548072,1608984,1511942,97042,0,81216,0,5
APICOLA BIHOR SRL,9097676,4711,"Municipiul Oradea, STR. GENERAL MAGHERU, Bloc M9-11, Județ Bihor",2019,200,490705,421660,19780,49265,2743,160019,,,333629,200,,1398692,1475167,1373299,101868,0,87404,0,5
APICOLA BIHOR SRL,9097676,4711,"Municipiul Oradea, STR. GENERAL MAGHERU, Bloc M9-11, Județ Bihor",2017,224,388297,287972,25535,74732,,201869,,,186652,200,,1559956,1574382,1548829,25553,0,10884,0,7
APICOLA BIHOR SRL,9097676,4711,"Municipiul Oradea, STR. GENERAL MAGHERU, Bloc M9-11, Județ Bihor",2016,1553,464772,343341,68103,53174,,251025,,,215300,200,,1402781,1425330,1439748,0,14418,0,14418,8
PUNTEA EXIM SRL,6733280,4711,"Municipiul Oradea, STR. GH. ASACHI, Nr. 2, Județ Bihor",2018,120683,91441,39199,32633,19609,,315365,,,-103241,200,,988010,995078,988739,6339,0,0,3541,5
PUNTEA EXIM SRL,6733280,4711,"Municipiul Oradea, STR. GH. ASACHI, Nr. 2, Județ Bihor",2016,120456,65143,46981,8298,9864,,264912,,,-79313,200,,509853,512268,548380,0,36112,0,36112,4
PUNTEA EXIM SRL,6733280,4711,"Municipiul Oradea, STR. GH. ASACHI, Nr. 2, Județ Bihor",2019,5589,65701,15798,18243,31660,,94906,,,-23616,200,,1198077,1354936,1263329,91607,0,79626,0,5
PUNTEA EXIM SRL,6733280,4711,"Municipiul Oradea, STR. GH. ASACHI, Nr. 2, Județ Bihor",2017,122772,73536,51145,19647,2744,,296008,,,-99700,200,,796661,804357,816777,0,12420,0,20387,5
LAEDA COM SRL,5590530,4711,"Municipiul Oradea, STR. GRADINARILOR, Nr. 41, Bloc PB 6, Apartament 1, Județ Bihor",2018,84699,105346,99264,2899,3183,,797669,,,-607624,46000,,573249,573249,640056,0,66807,0,68073,6
LAEDA COM SRL,5590530,4711,"Municipiul Oradea, STR. GRADINARILOR, Nr. 41, Bloc PB 6, Apartament 1, Județ Bihor",2019,63802,164109,140356,17604,6149,,820595,,,-592684,46000,,444989,535546,520606,14940,0,14940,0,5
LAEDA COM SRL,5590530,4711,"Municipiul Oradea, STR. GRADINARILOR, Nr. 41, Bloc PB 6, Apartament 1, Județ Bihor",2017,88406,179990,173450,4135,2405,832,808779,,,-539551,46000,,479230,479950,585821,0,105871,0,105871,5
LAEDA COM SRL,5590530,4711,"Municipiul Oradea, STR. GRADINARILOR, Nr. 41, Bloc PB 6, Apartament 1, Județ Bihor",2016,5621,159501,147706,5385,6410,,644603,,,-479481,200,,528864,528878,561187,0,32309,0,32309,5
FLOGERANI COM SRL,6867070,4711,"Municipiul Oradea, STR. HENRI COANDA, Nr. 26, Bloc PC48, Apartament 4, Județ Bihor",2018,,27855,27178,420,257,,144532,,,-116677,200,,29962,29962,43906,0,13944,0,14821,1
FLOGERANI COM SRL,6867070,4711,"Municipiul Oradea, STR. HENRI COANDA, Nr. 26, Bloc PC48, Apartament 4, Județ Bihor",2017,,32343,32271,10,62,,134199,,,-101856,200,,39102,39102,39030,72,0,0,1074,
FLOGERANI COM SRL,6867070,4711,"Municipiul Oradea, STR. HENRI COANDA, Nr. 26, Bloc PC48, Apartament 4, Județ Bihor",2019,,598,,428,170,,150132,,,-149534,200,,35023,35023,66440,0,31417,0,32856,
FLOGERANI COM SRL,6867070,4711,"Municipiul Oradea, STR. HENRI COANDA, Nr. 26, Bloc PC48, Apartament 4, Județ Bihor",2016,,28559,28453,6,100,,129341,,,-100782,200,,35789,35789,34370,1419,0,324,0,
BONIMAREX SRL,18497892,4711,"Municipiul Oradea, Str. MUZICII, Nr. 21, Județ Bihor",2016,12407,84007,62669,16882,4456,,371932,,,-275518,500,,745192,768038,675566,92472,0,91963,0,4
BONIMAREX SRL,18497892,4711,"Municipiul Oradea, Str. MUZICII, Nr. 21, Județ Bihor",2018,3242,50163,37826,11954,383,,256373,,,-202968,500,,321010,323928,287780,36148,0,32909,0,2
BONIMAREX SRL,18497892,4711,"Municipiul Oradea, Str. MUZICII, Nr. 21, Județ Bihor",2019,2594,50283,37826,11954,503,,257723,,,-204846,500,,,0,1878,0,1878,0,1878,
BONIMAREX SRL,18497892,4711,"Municipiul Oradea, Str. MUZICII, Nr. 21, Județ Bihor",2017,3890,71363,54863,12276,4224,,311130,,,-235877,500,,577135,577225,531408,45817,0,39641,0,3
IZA INCOM SRL,3392669,4711,"Municipiul Oradea, Str. NOJORIDULUI, Nr. 26/A, Județ Bihor",2018,945330,88251,47650,21869,18732,,237144,,,796437,50000,,1414311,1431517,1509521,0,78004,0,78292,7
IZA INCOM SRL,3392669,4711,"Municipiul Oradea, Str. NOJORIDULUI, Nr. 26/A, Județ Bihor",2019,875734,74559,37551,35384,1624,,145592,,,804701,50000,,663537,663537,653355,10182,0,8263,0,3
IZA INCOM SRL,3392669,4711,"Municipiul Oradea, Str. NOJORIDULUI, Nr. 26/A, Județ Bihor",2017,951841,115593,86156,2841,26596,,192705,,,874729,50000,,1458271,1486559,1484560,1999,0,1679,0,7
IZA INCOM SRL,3392669,4711,"Municipiul Oradea, Str. NOJORIDULUI, Nr. 26/A, Județ Bihor",2016,963676,194462,116397,6659,71406,,285087,,,873051,15420,,1555473,1560473,1557993,2480,0,2480,0,8
SELAGINEEA SRL,17663644,4711,"Municipiul Oradea, Str. NUFARULUI, Nr. 15, Bloc D136/A, Apartament 1, Județ Bihor",2017,,51117,47430,613,3074,,125745,,,-74628,200,,35911,35914,42755,0,6841,0,7200,2
FLORCOM IMPEX SRL,10242222,4711,"Municipiul Oradea, Str. NUFARULUI, Nr. 35, Bloc D124, Apartament 7, Județ Bihor",2018,35149,3548,2178,,1370,,215245,,,-176548,200,,131147,158428,156619,1809,0,244,0,2
FLORCOM IMPEX SRL,10242222,4711,"Municipiul Oradea, Str. NUFARULUI, Nr. 35, Bloc D124, Apartament 7, Județ Bihor",2019,32089,904,777,,127,,14973,,,18020,200,,217677,448862,249805,199057,0,194568,0,2
FLORCOM IMPEX SRL,10242222,4711,"Municipiul Oradea, Str. NUFARULUI, Nr. 35, Bloc D124, Apartament 7, Județ Bihor",2017,38209,3484,1327,,2157,,218485,,,-176792,200,,97777,141065,137519,3546,0,2135,0,3
FLORCOM IMPEX SRL,10242222,4711,"Municipiul Oradea, Str. NUFARULUI, Nr. 35, Bloc D124, Apartament 7, Județ Bihor",2016,19689,4881,4363,,518,,203497,,,-178927,200,,75825,75825,132879,0,57054,0,57812,2
ARDO PARCSERV SRL,10853463,4711,"Municipiul Oradea, Str. NUFĂRULUI, Nr. 13A, Bloc D137, Apartament 3, Județ Bihor",2018,5420,108590,6603,100571,1416,,708797,,,-594787,200,,92496,92496,167773,0,75277,0,76202,3
ARDO PARCSERV SRL,10853463,4711,"Municipiul Oradea, Str. NUFĂRULUI, Nr. 13A, Bloc D137, Apartament 3, Județ Bihor",2019,5067,117933,6603,110366,964,,761060,,,-638060,200,,127802,127802,169797,0,41995,0,43273,3
ARDO PARCSERV SRL,10853463,4711,"Municipiul Oradea, Str. NUFĂRULUI, Nr. 13A, Bloc D137, Apartament 3, Județ Bihor",2016,8148,82202,6603,72502,3097,,684379,,,-594029,200,,55138,55690,81105,0,25415,0,26530,1
ARDO PARCSERV SRL,10853463,4711,"Municipiul Oradea, Str. NUFĂRULUI, Nr. 13A, Bloc D137, Apartament 3, Județ Bihor",2017,5979,106135,6603,95403,4129,,630698,,,-518584,200,,193209,194115,116730,77385,0,75444,0,2
PAULINIO SRL,17541116,4711,"Municipiul Oradea, Str. NUFĂRULUI, Nr. 70, Bloc AN 70, Etaj 4, Apartament 14, Județ Bihor",2018,,17262,,9681,7581,,220530,,,-203268,200,,65429,65429,79739,0,14310,0,14968,1
