Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
OLMA TRADE SRL,6533800,4711,"Municipiul Oradea, Aleea ZIDARILOR, Nr. 1, Bloc X1B, Apartament 2, Județ Bihor",2017,168742,145488,125071,541,19876,,355113,,,-40883,45210,,1434419,1435208,1385228,49980,0,49980,0,5
OVISANDANA SRL,20571567,4711,"Municipiul Oradea, B-dul DACIA, Nr. 114, Bloc B3, Scara A, Etaj 1, Apartament 7, Județ Bihor",2018,,343866,136921,73103,133842,,247657,,,96209,200,,350802,352223,332600,19623,0,17023,0,3
OVISANDANA SRL,20571567,4711,"Municipiul Oradea, B-dul DACIA, Nr. 114, Bloc B3, Scara A, Etaj 1, Apartament 7, Județ Bihor",2017,,293366,173398,117932,2036,,213667,,,79699,200,,404638,405779,372887,32892,0,28846,0,4
OVISANDANA SRL,20571567,4711,"Municipiul Oradea, B-dul DACIA, Nr. 114, Bloc B3, Scara A, Etaj 1, Apartament 7, Județ Bihor",2019,16862,227952,112190,104810,10952,,133084,,,111730,200,,309390,310910,292280,18630,0,15521,0,2
OVISANDANA SRL,20571567,4711,"Municipiul Oradea, B-dul DACIA, Nr. 114, Bloc B3, Scara A, Etaj 1, Apartament 7, Județ Bihor",2016,756,252979,183281,67817,1881,,16292,,,237443,200,,495816,682638,443988,238650,0,231196,0,5
COMALIM 50 MATEIAS SRL,7816252,4711,"Municipiul Oradea, Str. CORNELIU COPOSU, Nr. 7, Județ Bihor",2018,645877,253586,,134249,119337,34,174873,,,724624,48644,,147004,147004,56349,90655,0,86245,0,
COMALIM 50 MATEIAS SRL,7816252,4711,"Municipiul Oradea, Str. CORNELIU COPOSU, Nr. 7, Județ Bihor",2016,678428,142533,,129641,12892,100,200133,,,620928,48644,,97487,97824,66228,31596,0,28662,0,
COMALIM 50 MATEIAS SRL,7816252,4711,"Municipiul Oradea, Str. CORNELIU COPOSU, Nr. 7, Județ Bihor",2017,662152,159623,,131426,28197,206,183602,,,638379,48644,,103076,103076,82533,20543,0,17451,0,
COMALIM 50 MATEIAS SRL,7816252,4711,"Municipiul Oradea, Str. CORNELIU COPOSU, Nr. 7, Județ Bihor",2019,630819,354081,,140699,213382,44,172117,,,812827,48644,,152667,152667,59885,92782,0,88202,0,
IULATEK COM SRL,9892027,4711,"Municipiul Oradea, Str. CĂRĂBUŞULUI, Nr. 24, Județ Bihor",2016,479,36927,34291,2382,254,,5580,,,31826,200,,228848,228870,225677,3193,0,908,0,1
IULATEK COM SRL,9892027,4711,"Municipiul Oradea, Str. CĂRĂBUŞULUI, Nr. 24, Județ Bihor",2018,479,10054,6757,2382,915,,31490,,,-20957,200,,250976,250976,287252,0,36276,0,39096,2
IULATEK COM SRL,9892027,4711,"Municipiul Oradea, Str. CĂRĂBUŞULUI, Nr. 24, Județ Bihor",2019,479,11539,6990,2382,2167,,47939,,,-35921,200,,242053,242058,254602,0,12544,0,14964,2
IULATEK COM SRL,9892027,4711,"Municipiul Oradea, Str. CĂRĂBUŞULUI, Nr. 24, Județ Bihor",2017,479,38571,35150,2382,1039,,20910,,,18140,200,,209770,209783,221371,0,11588,0,13686,2
CLARABLANC SRL,22443297,4711,"Municipiul Oradea, Str. ECATERINA TEODOROIU, Nr. 4, Apartament 1, Județ Bihor",2016,,220,-16,236,,,9349,,,-9129,200,,,0,,0,0,0,0,
CLARABLANC SRL,22443297,4711,"Municipiul Oradea, Str. ECATERINA TEODOROIU, Nr. 4, Apartament 1, Județ Bihor",2018,,45061,34783,,10278,,79487,,,-34426,200,,216045,216824,239887,0,23063,0,25232,2
CLARABLANC SRL,22443297,4711,"Municipiul Oradea, Str. ECATERINA TEODOROIU, Nr. 4, Apartament 1, Județ Bihor",2017,,-16,-16,,,,9178,,,-9194,200,,,0,,0,0,0,0,
CLARABLANC SRL,22443297,4711,"Municipiul Oradea, Str. ECATERINA TEODOROIU, Nr. 4, Apartament 1, Județ Bihor",2019,,24887,20494,,4393,,88034,,,-63147,200,,178029,178455,205399,0,26944,0,28721,1
JULIA IMPEX SRL,5980983,4711,"Municipiul Oradea, Str. RAZBOIENI, Nr. 62, Bloc T3, Apartament 1, Județ Bihor",2017,7150,21612,21598,,14,,150427,,,-121665,240,,97914,97914,110294,0,12380,0,13359,2
JULIA IMPEX SRL,5980983,4711,"Municipiul Oradea, Str. RAZBOIENI, Nr. 62, Bloc T3, Apartament 1, Județ Bihor",2016,7150,21060,20694,,366,,136516,,,-108306,240,,102394,102394,112389,0,9995,0,11019,2
AREDICA ELECTRO SRL,2397951,4711,"Municipiul Oradea, Str. SEXTIL PUSCARIU, Nr. 1B, Bloc Q2, Scara A, Etaj 1, Apartament 6, Județ Bihor",2017,,34767,34767,,,,343934,,,-309167,240,,188795,188795,217570,0,28775,0,30663,
AREDICA ELECTRO SRL,2397951,4711,"Municipiul Oradea, Str. SEXTIL PUSCARIU, Nr. 1B, Bloc Q2, Scara A, Etaj 1, Apartament 6, Județ Bihor",2016,,52411,52408,,3,,330945,,,-278534,210,,154351,154351,180574,0,26223,0,27767,4
NELDAN COM SRL,7938390,4711,"Municipiul Oradea, STR. RAZBOIENI, Nr. 60, Bloc D 28, Apartament 13, Județ Bihor",2018,,,,,,,701,,,-701,200,,,0,,0,0,0,0,
NELDAN COM SRL,7938390,4711,"Municipiul Oradea, STR. RAZBOIENI, Nr. 60, Bloc D 28, Apartament 13, Județ Bihor",2017,,,,,,,701,,,-701,200,,,0,,0,0,0,0,
NELDAN COM SRL,7938390,4711,"Municipiul Oradea, STR. RAZBOIENI, Nr. 60, Bloc D 28, Apartament 13, Județ Bihor",2016,,,,,,,701,,,-701,200,,,0,,0,0,0,0,
NELDAN COM SRL,7938390,4711,"Municipiul Oradea, STR. RAZBOIENI, Nr. 60, Bloc D 28, Apartament 13, Județ Bihor",2019,,,,,,,701,,,-701,200,,,0,,0,0,0,0,
LADINFLOR IMPEX SRL,3826296,4711,"Municipiul Oradea, B-DUL STEFAN CEL MARE, Nr. 63, Bloc D57, Apartament 12, Județ Bihor",2018,,8,,3,5,,176,,,-168,200,,,0,,0,0,0,0,
LADINFLOR IMPEX SRL,3826296,4711,"Municipiul Oradea, B-DUL STEFAN CEL MARE, Nr. 63, Bloc D57, Apartament 12, Județ Bihor",2017,,8,,3,5,,176,,,-168,200,,,0,,0,0,0,0,
LADINFLOR IMPEX SRL,3826296,4711,"Municipiul Oradea, B-DUL STEFAN CEL MARE, Nr. 63, Bloc D57, Apartament 12, Județ Bihor",2016,,8,,3,5,,176,,,-168,200,,,0,,0,0,0,0,
